Column1;Column2;Column3
;Aimoon ;Complete
;Alexandra Badoi;Complete
;Allen & Envy;Complete
;Amy Kirkpatrick;Complete
;Assaf;Complete
;Attila Syah;Complete
;Cari;Complete
;Cathy Burton;Complete
;Claire Willis;Complete
;Denis Kenzo;Complete
;Dj Xquizit;Complete
;EMATA;Complete
;Eranga ;Complete
;Eva Kade;Complete
;Eximinds;Complete
;Fatum;Complete
;Gal Abutbul;Complete
;Gemma Pavlovic;Complete
;GXD ;Complete
;JANPAUL ;Complete
;Jeremy Vancaulart;Complete
;Jess Morgan;Complete
;John O'Callaghan;Complete
;Katherine Amy;Complete
;Kimberly Hale;Complete
;Koyah ;Complete
;Maxine ;Complete
;Melissa Loretta;Complete
;Michele C;Complete
;Mino Safy;Complete
;Monoverse;Complete
;Natune;Complete
;Nifra;Complete
;Ramsey Westwood;Complete
;Raz Nitzan ;Complete
;Rebecca Louise Burch;Complete
;Rigo Avila;Complete
;Roxanne Emery;Complete
;Sarah de Warren;Complete
;Sarah Reeves;Complete
;SCHALA;Complete
;Somna;Complete
;Tritonal;Complete
;10Stage;
;3rd Planet;
;4 Strings;
;5ALVO ;
;7 Skies ;
;7ROSES ;
;A.L.Y.S. ;
;A.M.R. ;
;A.R.D.I.;
;Aamos ;
;AB Project;
;Abhishek Y2V;
;Aboutblank ;
;Above & Beyond;
;Abraham Roma;
;Abrupt Gear;
;Abscure ;
;Abstract Vision;
;Access ;
;Achilles;
;Activa;
;ActiveBlaze;
;Ad Brown;
;Adam Ellis;
;Adam Is A Girl ;
;Adam K;
;Adam Nickey;
;Adam Szabo;
;Adam Tas;
;Adara ;
;Ade DokQ;
;Adina Butar ;
;Adip Kiyoi;
;Adrian Alexander;
;Adrian&Raz ;
;Aelyn ;
;Aeolu5;
;Agata Pasternak;
;Aguada;
;Ahmed Helmy;
;Ahmet Atasever;
;Ai Takekawa;
;AIDYL ;
;AIKA;
;Aila;
;Airbase;
;Airborn;
;AirLab7;
;Airo ;
;Airum;
;AJ Gibson ;
;AK;
;Aknow ;
;Alae Khaldi ;
;Alaera ;
;Alan Morris;
;Aldous ;
;Aleksey Ekimov;
;Aleksey Sladkov;
;Alex Daf;
;Alex Ender;
;Alex Holmes ;
;Alex Klingle ;
;Alex Leavon;
;Alex M.O.R.P.H.;
;Alex Mazel ;
;Alex Prima;
;Alex Shevchenko;
;Alex Sonata;
;Alex Soun;
;Alex Wackii;
;Alex Wright;
;Alexander Chekomasov;
;Alexander Dark;
;Alexander Komarov;
;Alexander Popov;
;Alexander Spark;
;Alexander Turok;
;Alexander Zhakulin;
;Alexandre Bergheau;
;Alexey Polozok;
;Alexxon ;
;Aley & Oshay;
;Aligator ;
;A-Line;
;Alissa Feudo;
;Allan V.;
;Allen Watts;
;Allevo ;
;Allure;
;Aloma Steele ;
;Alpha Force ;
;Alpha Modul ;
;Alpha025;
;Alta May;
;Alta Project;
;Alton;
;Altreal ;
;Aly & Fila;
;Aly Frank;
;Amanda Darling;
;Amba Shepherd ;
;Am?lie Mae;
;Amidy ;
;Amin Salmee ;
;Amir Hussain ;
;Amos ;
;Amst ;
;AMTM;
;Amurai ;
;Ana Criado ;
;Anatoliy Frolov;
;Andain ;
;Anderson ;
;Andr? Visior;
;Andrea Britton;
;Andres Sanchez;
;Andrew & White;
;Andrew Bayer;
;Andrew Cash;
;Andrew Frenir;
;Andrew Henry;
;Andrew Lang;
;Andrew MacTire;
;Andrew Mirt;
;Andrew Rayel;
;Andrew Vass;
;Andromeda;
;Andromedha ;
;Andski ;
;Andy Cain;
;Andy Duguid;
;Andy Elliass;
;Andy Kumanov;
;Andy Moor;
;Andy Wide;
;Ane Brun;
;Aneym;
;ANG;
;Ange ;
;Angel ;
;Angel Fall ;
;Angel Falls;
;Angelface;
;Angelic ;
;Angelika Vee;
;Angelus ;
;Anhydrite ;
;ANIMA!;
;Anita Kelsey;
;Anlaya Project;
;Anna Renae;
;Anna Star;
;AnnihElectric;
;Anske ;
;Anthony Ragni;
;Anthya;
;Antillas ;
;Anton By;
;Anton Sonin;
;Antonia Lucas;
;Anveld ;
;Anven;
;ANVY ;
;Apollo Nash;
;April Bender;
;Araya;
;Arba Han;
;Arcane Science;
;Arctic Moon;
;Aressa;
;Aresz ;
;Arggic ;
;Ariel & Danilo;
;Arielle Maren;
;Arjans;
;Arkam Reborn;
;Arlicht;
;Armin Van Buuren;
;Armin Zamani;
;Armos;
;Arnaud S;
;Arsen & Cyan;
;Art Of Trance;
;Artento Divini;
;Artifi;
;Arty;
;Aruna;
;Aryue ;
;Aser Gado;
;Ashley Smith;
;Ashley Wallbridge;
;Asteroid ;
;Astony ;
;AstroFegs;
;AstroSonic ;
;Astuni & Manuel Le Saux;
;ATB;
;atDusk;
;Ather;
;ATHOM ;
;ATHOMsound;
;Atleha ;
;Atragun;
;A-Tronix;
;Au5;
;Audrey Gallagher;
;Aura Wolfe;
;Aurosonic ;
;Av;
;Ava Silver ;
;Avao;
;Avenia ;
;Averagaint;
;Avian Grays;
;Avylo;
;AWAKEND ;
;Axel Walters;
;AxelPolo;
;Axis;
;Axxound ;
;AYDA ;
;Aylin ;
;Baer ;
;Ban O'Dannon;
;Basto;
;Bayaba ;
;BBSound;
;Beat & Voice;
;Beat Service;
;Beatsole;
;Bec Peters;
;Bedroom Logic;
;Ben Ashley;
;Ben Gold;
;Ben Lord;
;Ben McConnell ;
;Ben Nicky;
;Ben Nilsson;
;Benjamin Duchenne;
;Benya ;
;Bertie Scott;
;Betsie Larkin;
;Bi Bi Zhou;
;Bigtopo ;
;Bilal El Aly;
;Binary Finary;
;Binary Form;
;BIONIQUE ;
;BiXX;
;Bizzare Contact;
;Black Spider ;
;Black Xs;
;Blacktzar ;
;Blaumar;
;Blaze Sulinski;
;Blue Harvest;
;Blue5even;
;Blugazer;
;BluSkay;
;Bobby Neon;
;Bodo Kaiser;
;Bogdan Vix;
;BOND;
;Boom Jinx;
;Boostereo;
;Borena;
;Boris Foong;
;Bote ;
;Brad & Victor H;
;Brandon Mignacca;
;Breame ;
;BRKDWN;
;BRKLYN ;
;BRM ;
;Broning;
;Bryan Milton;
;Bryen;
;Bryn Liedl ;
;BT;
;BXT;
;Caitlin Stubbs;
;Cammie Robinson;
;Candace Sosa;
;Capa ;
;Cardinal;
;Carie ;
;Carina;
;Carl Daylim;
;Carla Werner;
;Carol Lee;
;Carrie Skipper;
;Casey Barnes;
;Cassandra Grey;
;Cassidy Ford;
;Cate Kanell;
;Cause Two;
;CeCe Mix;
;Cerf, Mitiska and Jaren;
;Chakra;
;Chance;
;Channel Surfer;
;Charmy;
;Chatry Van Hove;
;Che Jose ;
;Chicane;
;Chloe ;
;Chris Callado;
;Chris Element;
;Chris Forward;
;Chris Giuliano;
;Chris Jennings ;
;Chris Jones ;
;Chris Kerry;
;Chris Madin ;
;Chris Metcalfe;
;Chris Porter;
;Chris Schambacher;
;Chris Schweizer;
;Chris Turner;
;Chriss Ortega;
;Christian Burns;
;Christian Carcamo;
;Christian Zechner;
;Christina Novelli;
;Christine Tran;
;Christopher Corrigan ;
;Christopher James Connelly;
;Chukiess & Whackboi;
;Ciaran McAuley;
;Cimo Frankel;
;CJ SN;
;CJ Stone;
;Clara Sofie;
;Clara Yates;
;Clare Stagg;
;Claudiu Adam;
;Claus Backslash;
;CMCV ;
;Cold Rush;
;Colin Smith;
;Collide the Sky ;
;Colonial One;
;Conrad Sewell ;
;Cor Fijneman;
;Cora ;
;Corderoy;
;Corti Organ;
;Cosmic Gate;
;Cosmo & Skoro;
;Costa;
;Craig B;
;Craig Connelly;
;Craving ;
;Cristina Soto;
;C-Systems;
;CubeTonic;
;Cubicore;
;Cynthia Hall;
;Cyril Ryaz ;
;D&W;
;D72;
;Daav One;
;Dallaz Project;
;Dam Nicolosi;
;Damian Wasse;
;Dan Norvan;
;Dan Schneider;
;Dan Stone;
;Dan Thompson;
;Daniel & Albert ;
;Daniel Kandi;
;Daniel Rimaldi ;
;Daniel Skyver;
;Danilo Ercole;
;Danilo Marinucci;
;Danny Chen;
;Danny Claire;
;Danny Cullen;
;Danny Eaton;
;Danyka Nadeau;
;Darin Epsilon;
;Dark Echo;
;Dark Fusion;
;Dark Matters ;
;Darkmind;
;Darren O'Brien;
;Darren Porter;
;Dart Rayne;
;DARVO;
;Dash Berlin;
;Dasha ;
;Daun Giventi ;
;Dave Darel;
;Dave Martin;
;Dave Neven;
;Dave Steward ;
;Davey Asprey;
;David Deere;
;David Gravell;
;David Mimram;
;David Thulin;
;Davoud;
;DeadDash;
;Deagon ;
;Dean Chalmers;
;Declan James;
;Dee Am;
;Deem;
;Deep Fog;
;Deirdre McLaughlin;
;Denbray ;
;Denis Airwave;
;Denis Karpinskiy;
;Denis Neve;
;Denis Sender;
;Denise Rivera;
;Dennis Graft;
;Dennis Lysenko;
;Dennis Pedersen;
;Dennis Sheperd;
;Derek Aether;
;Derek Palmer;
;Derek Ryan;
;Dezarate;
;Dezza ;
;D-Gor;
;Diana Leah;
;Diego Morrill;
;Digital Vision;
;Digital X;
;Dilara Gadel;
;DIM3NSION;
;Dinka;
;Dirkie Coetzee;
;Dirty South;
;Disfunktion;
;Dito ;
;Division Zero;
;DJ Anvil;
;DJ Beda;
;DJ Darq;
;DJ Dean;
;DJ GREG;
;DJ Kam;
;DJ Nell;
;DJ Panda;
;DJ Sehba;
;DJ Stella;
;DJ T.H.;
;D-Mad;
;Dmitry Strochenko;
;Dmpv ;
;DNS Project;
;Dom Fricot ;
;Dominic Manns;
;Donata ;
;Dory Badawi;
;DoubleV;
;Dragen ;
;Driftmoon ;
;Drival;
;DRYM;
;DSM ;
;dStarr;
;DT8;
;DT8 Project;
;Duncan Newell;
;Dustin Husain;
;Dylan Matthew;
;East & Atlas;
;Eda Lovelace;
;Eden;
;Ehren Stowers;
;Ekatherina April;
